Form,What's your cohort?,Hiring Company,Job Title,Salary,"Job location (City, Country)","Date you first got a job offer, coming out of Makers Academy","How many companies did you interview with, before you got your first offer?",Date you accepted this job offer,Date you start this job you've accepted,"How many companies did you interview with, before you got this offer that you're accepting?",What tech will you be working with?,How did you get this job?,Tell us more,What did we do well?,How could careers support at Makers be improved?,How likely are you to recommend the Makers Academy Careers Team to future cohorts?,Conversion Date,Conversion Title,Contact ID,NPS
CongratsForm898,Jan 2025,PhysicsX,Software Engineer I,35000,"London, UK",26/08/2025,3,26/08/2025,15/09/2025,3,Unknown,Makers Hiring Partner,,Becks really helped the job hunt feel so much easier with the morning stand ups and power hours she organised. I also got a lot out of the practice interviews and the sessions run by Becks and the coaches on job interview skills. Even after the course had ended I felt really well supported and like I still had a community around me. I also just want to say that Becks is amazing!!!,I genuinely cannot think of anything,10,2025-09-04 12:35:06,Form,38130032840,Promoter
CongratsForm897,September 2024,Universal Music Group,Business Analyst Apprentice,32000,"London, UK",14/08/2025,6,15/08/2025,22/09/2025,6,SQL predominantly,Makers Hiring Partner,,Workshops and talks,N/A,10,2025-08-19 10:18:02,Form,25607922653,Promoter
CongratsForm896,November 2024,Universal Music Group,Apprentice Software Tester,32000,"London, England",14/08/2025,3,15/08/2025,22/09/2025,3,Multiple technologies and languages,Makers Hiring Partner,,Interview prep was especially helpful (even at short notice) - thank you Becks and Lottie!,No complaints or concerns about Makers career support,9,2025-08-18 15:03:09,Form,,Promoter
CongratsForm895,,Amazon,ML Data Associate,36500,London,16/07/2025,10,17/07/2025,11/08/2025,10,"ML, in house solution",Job Board,,"Everything. Support was fantastic ! The team is really going above and beyond, tries to propose as many workshop as possible.","I know it’s difficult, but having higher up guests speakers is very motivating. When two speakers came from the insurance industry, it was very inspiring. Other than that, keep up the excellent work !",10,2025-08-14 18:19:24,Form,312334935248,Promoter
CongratsForm894,Nov 2024,Collinson,Junior Software Developer,40000,London,11/08/2025,3,11/08/2025,01/09/2025,0,TypeScript,Job Board,,"Mock interviews, Becks sharing external jobs, workshops",N/a,9,2025-08-13 12:40:46,Form,67951001,Promoter
CongratsForm893,Sept 2024 Software Dev,CoinDesk,Junior Webflow Engineer,50000,London,31/07/2025,3,01/08/2025,26/08/2025,3,"Webflow, JavaScript",Apply direct on company website,,"Practise interview sessions, sharing the jobs in the external jobs channel (this is where I found the job)","The careers team has been fantastic! The regular one-to-one sessions after the course are great, but they sometimes feel a bit too close together, as there’s often not much progress in the job hunt between them. At times, I also found myself unsure what to bring up for discussion.",9,2025-08-12 17:49:07,Form,67565751,Promoter
CongratsForm892,May 2025 Foundations R,NEC,Modern Apprentice,23000,Bracknell,04/11/2025,1,04/11/2025,08/09/2025,1,"Not sure yet, will learn after bootcamp",Job Board,,Very supportive,N/A,10,2025-07-11 20:50:26,Form,64924151,Promoter
CongratsForm891,Nov-2024,loveholidays,Software Engineer-L1,50000,London,27/06/2025,2,27/06/2025,12/08/2025,2,"Python, Google Cloud",Apply direct on company website,,Projects I was involved prepared me well for the real life project scenarios in the interview.,Nothing on my side,10,2025-07-07 12:36:54,Form,70788301,Promoter
CongratsForm890,Onsite November 2024,Compare the Market,Junior Data Engineer (Apprentice),31000,London,18/06/2025,1,27/06/2025,02/09/2025,1,"Python, SQL, AWS, Databricks",Makers Hiring Partner,,"General support and encouragement, as well as a great mock interview experience. Also really appreciated that a lot of the resources were available to use at my own time/pace.","Not sure, particularly as depends on the individual/job.",7,2025-06-27 12:16:01,Form,9252731083,Passive
CongratsForm889,May 2024,Association of Colleges,Product Executive,36000,London,10/06/2025,7,11/06/2025,25/06/2025,7,Tbc but a mix of front-end and back end,Job Board,,CV support and Fenella was great at keeping my spirits high and reassuring me I was on the right track with all my efforts,NA,9,2025-06-16 14:53:38,Form,35994751,Promoter
