Record ID,Contact Id,Rating,Date,Survey Name,NPS,CSAT
664004926674,66650951,9,2025-06-23 13:12,Accelerator Exit Interview,Promoter,
661304608966,69345051,10,2025-06-20 16:25,Accelerator Exit Interview,Promoter,
660885157107,69359601,10,2025-06-20 10:48,Accelerator Exit Interview,Promoter,
630706299119,59134201,9,2025-05-27 10:51,Accelerator Exit Interview,Promoter,
621498143975,70271901,8,2025-05-20 12:01,Accelerator Exit Interview,Passive,
20803006612,,1,2020-06-10 11:41,Congrats you got a job - Customer Satisfaction Survey,,Neutral
20800650614,,2,2020-06-10 09:42,Congrats you got a job - Customer Satisfaction Survey,,Positive
19619541578,,1,2020-05-20 15:52,Congrats you got a job - Customer Satisfaction Survey,,Neutral
17342991789,49362451,2,2020-04-25 11:13,Congrats you got a job - Customer Satisfaction Survey,,Positive
15371990051,,2,2020-04-19 16:07,Congrats you got a job - Customer Satisfaction Survey,,Positive
14327380770,,2,2020-04-14 11:56,Congrats you got a job - Customer Satisfaction Survey,,Positive
10150133934,,2,2020-03-15 00:17,Congrats you got a job - Customer Satisfaction Survey,,Positive
9778213710,9165901,2,2020-03-06 19:05,Congrats you got a job - Customer Satisfaction Survey,,Positive
9513753675,,2,2020-02-29 13:19,Congrats you got a job - Customer Satisfaction Survey,,Positive
9413233049,,1,2020-02-27 14:44,Congrats you got a job - Customer Satisfaction Survey,,Neutral
9108648137,,2,2020-02-22 15:03,Congrats you got a job - Customer Satisfaction Survey,,Positive
7735013425,,1,2020-01-28 10:48,Congrats you got a job - Customer Satisfaction Survey,,Neutral
7507538190,,1,2020-01-22 22:58,Congrats you got a job - Customer Satisfaction Survey,,Neutral
7456730992,,2,2020-01-22 19:08,Congrats you got a job - Customer Satisfaction Survey,,Positive
7039217273,,2,2020-01-12 10:50,Congrats you got a job - Customer Satisfaction Survey,,Positive
6486711401,,2,2019-12-27 11:39,Congrats you got a job - Customer Satisfaction Survey,,Positive
6440376269,,2,2019-12-25 18:34,Congrats you got a job - Customer Satisfaction Survey,,Positive
5161191471,,2,2019-12-09 14:58,Congrats you got a job - Customer Satisfaction Survey,,Positive
5139781613,,2,2019-12-08 17:26,Congrats you got a job - Customer Satisfaction Survey,,Positive
5028771015,,1,2019-12-05 14:27,Congrats you got a job - Customer Satisfaction Survey,,Neutral
4691432820,,2,2019-11-28 14:33,Congrats you got a job - Customer Satisfaction Survey,,Positive
4555681752,,1,2019-11-27 12:41,Congrats you got a job - Customer Satisfaction Survey,,Neutral
3879156819,,2,2019-11-21 06:49,Congrats you got a job - Customer Satisfaction Survey,,Positive
3827082408,,2,2019-11-20 00:10,Congrats you got a job - Customer Satisfaction Survey,,Positive
3781994334,,2,2019-11-19 19:12,Congrats you got a job - Customer Satisfaction Survey,,Positive
3770827615,,2,2019-11-19 16:51,Congrats you got a job - Customer Satisfaction Survey,,Positive
2914368557,,2,2019-11-04 16:17,Congrats you got a job - Customer Satisfaction Survey,,Positive
2678811133,,2,2019-10-27 08:13,Congrats you got a job - Customer Satisfaction Survey,,Positive
2607250692,,2,2019-10-24 11:53,Congrats you got a job - Customer Satisfaction Survey,,Positive
2551791214,,2,2019-10-22 23:09,Congrats you got a job - Customer Satisfaction Survey,,Positive
2540821732,,2,2019-10-22 16:10,Congrats you got a job - Customer Satisfaction Survey,,Positive
2344308926,,2,2019-10-16 06:19,Congrats you got a job - Customer Satisfaction Survey,,Positive
2260631273,,2,2019-10-13 17:02,Congrats you got a job - Customer Satisfaction Survey,,Positive
2250533850,,2,2019-10-12 08:53,Congrats you got a job - Customer Satisfaction Survey,,Positive
2064145811,13409251,2,2019-10-09 16:13,Congrats you got a job - Customer Satisfaction Survey,,Positive
1965054078,,1,2019-10-06 17:35,Congrats you got a job - Customer Satisfaction Survey,,Neutral
1801014047,,2,2019-10-01 11:01,Congrats you got a job - Customer Satisfaction Survey,,Positive
1217747507,,0,2019-09-24 08:34,Congrats you got a job - Customer Satisfaction Survey,,Negative
1122349001,,2,2019-09-21 17:12,Congrats you got a job - Customer Satisfaction Survey,,Positive
868629659,10973851,2,2019-09-18 16:53,Congrats you got a job - Customer Satisfaction Survey,,Positive
342097150,,1,2019-08-03 17:57,Congrats you got a job - Customer Satisfaction Survey,,Neutral
342110505,,1,2019-07-24 17:00,Congrats you got a job - Customer Satisfaction Survey,,Neutral
342114315,8828701,1,2019-07-24 16:50,Congrats you got a job - Customer Satisfaction Survey,,Neutral
342118297,,2,2019-07-24 09:40,Congrats you got a job - Customer Satisfaction Survey,,Positive
342118274,,2,2019-07-16 22:27,Congrats you got a job - Customer Satisfaction Survey,,Positive
342097143,,2,2019-07-12 18:53,Congrats you got a job - Customer Satisfaction Survey,,Positive
342080046,7808451,2,2019-07-10 22:43,Congrats you got a job - Customer Satisfaction Survey,,Positive
342108327,,2,2019-07-10 20:18,Congrats you got a job - Customer Satisfaction Survey,,Positive
342082167,,1,2019-07-10 18:48,Congrats you got a job - Customer Satisfaction Survey,,Neutral
342116456,2151451,2,2019-07-10 13:08,Congrats you got a job - Customer Satisfaction Survey,,Positive
342094939,,1,2019-07-07 11:20,Congrats you got a job - Customer Satisfaction Survey,,Neutral
342108335,,2,2019-07-02 14:19,Congrats you got a job - Customer Satisfaction Survey,,Positive
342118203,,2,2019-06-25 12:09,Congrats you got a job - Customer Satisfaction Survey,,Positive
342106389,,0,2019-06-10 11:28,Congrats you got a job - Customer Satisfaction Survey,,Negative
342120145,15525951,1,2019-06-09 22:18,Congrats you got a job - Customer Satisfaction Survey,,Neutral
